"""Id"",""Date"",""Name of document"",""Result of vote"",""Parliament or council"",""Policy area""";;;;
"833,08/06/11,""Cooperation in vocational education and training to support the Europe 2020 strategy - Motion for a resolution : Paragraph 78/1"",""+"",""EP"",""Employment & social affairs""";;;;
"834,08/06/11,""Application of Schengen acquis in Bulgaria and Romania - Draft legislative resolution : single vote - consultation"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"835,08/06/11,""Motions for resolutions - EU-Canada trade relations - Motion for a resolution : Paragraph 13,amendment 10"",""+"",""EP"",""International trade""";;;;
"836,08/06/11,""Guaranteeing independent impact assessments - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Legal affairs""";;;;
"837,08/06/11,""External dimension of social policy, promoting labour and social standards and European corporate social responsibility   - Motion for a resolution : Paragraph 28"",""+"",""EP"",""Employment & social affairs""";;;;
"838,08/06/11,""Progress towards a European contract law for consumers and businesses - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Legal affairs""";;;;
"839,07/06/11,""Proof of origin for certain textile products - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"840,07/06/11,""European environmental economic accounts - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"841,12/05/11,""European fisheries sector crisis due to rise in oil prices - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Fisheries""";;;;
"842,12/05/11,""ILO Convention supplemented by a recommendation on domestic workers - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Employment & social affairs""";;;;
"843,12/05/11,""Cultural dimensions of EU external actions - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Culture & education""";;;;
"844,12/05/11,""Early years learning - Motion for a resolution : single vote"",""+"",""EP"",""Culture & education""";;;;
"845,12/05/11,""Belarus - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"846,11/05/11,""Approximation of the laws of the Member States relating to units of measurement   - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"847,11/05/11,""Indications or marks identifying the lot to which a foodstuff belongs   - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"848,11/05/11,""Permissible sound level and the exhaust system of motor vehicles - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"849,11/05/11,""Narrow-track wheeled agricultural and forestry tractors   - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"850,11/05/11,""Controls of wheeled agricultural or forestry tractors - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"851,11/05/11,""Braking devices of wheeled agricultural or forestry tractors - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"852,11/05/11,""Rear-mounted roll-over protection structures of narrow-track wheeled agricultural and forestry tractors - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"853,11/05/11,""Driving position and the doors and windows of wheeled agricultural or forestry tractors - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"854,11/05/11,""Excise duty applied to manufactured tobacco - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"855,11/05/11,""Denominations and technical specifications of euro coins intended for circulation - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"856,11/05/11,""Radio spectrum policy - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Industry, research & energy""";;;;
"857,11/05/11,""Free trade agreement with India - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""International trade""";;;;
"858,11/05/11,""Preparing forests for climate change - Motion for a resolution : Paragraph 36/2"",""+"",""EP"",""Environment & public health""";;;;
"859,11/05/11,""Annual report on Common Foreign and Security Policy (CFSP) in 2009 - Motion for a resolution : Paragraph 38/2"",""+"",""EP"",""Foreign & security policy""";;;;
"860,11/05/11,""Development of the common security and defence policy following the entry into force of the Lisbon Treaty - Motion for a resolution : Paragraph 40, introductory part,amendment 4rev"",""-"",""EP"",""Foreign & security policy""";;;;
"861,11/05/11,""The EU as a global actor: its role in multilateral organisations - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"862,10/05/11,""2009 discharge: Euratom Supply Agency - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"863,10/05/11,""2009 discharge: Eurojust - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"864,10/05/11,""2009 discharge: European Network and Information Security Agency (ENISA) - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"865,10/05/11,""2009 discharge: European Railway Agency - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"866,10/05/11,""2009 discharge: European Training Foundation - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"867,10/05/11,""2009 discharge: European Monitoring Centre for Drugs and Drug Addiction - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"868,10/05/11,""2009 discharge: European Maritime Safety Agency - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"869,10/05/11,""2009 discharge: European Food Safety Authority - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"870,10/05/11,""2009 discharge: European Environment Agency - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"871,10/05/11,""2009 discharge: European Aviation Safety Agency - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"872,10/05/11,""2009 discharge: European Centre for Disease Prevention and Control - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"873,10/05/11,""2009 discharge: European Chemicals Agency - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"874,10/05/11,""2009 discharge: Community Fisheries Control Agency - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"875,10/05/11,""2009 discharge: European Centre for the Development of Vocational Training (Cedefop) - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"876,10/05/11,""2009 discharge: Translation Centre for the Bodies of the European Union - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"877,10/05/11,""2009 discharge: European Police College - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"878,10/05/11,""2009 discharge: EU general budget, European Ombudsman - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"879,10/05/11,""2009 discharge: EU general budget - European Data Protection Supervisor - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"880,10/05/11,""2009 discharge: performance, financial management and control of the agencies - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"881,10/05/11,""2009 discharge: EU general budget, Court of Justice - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"882,10/05/11,""2009 discharge: EU general budget - European Parliament  - Proposal for a European Parliament Decision : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"883,10/05/11,""2009 discharge: European Agency for Safety and Health at Work - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"884,10/05/11,""2009 discharge: European Agency for the Management of Operational Cooperation at the External Borders (FRONTEX) - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"885,10/05/11,""2009 discharge: European GNSS Supervisory Authority - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"886,10/05/11,""2009 discharge: ARTEMIS Joint Undertaking - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"887,10/05/11,""2009 discharge: Clean Sky Joint Undertaking - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"888,10/05/11,""2009 discharge: Joint Undertaking (Joint Technology Initiative on Innovative Medicines) - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"889,10/05/11,""2009 discharge: SESAR Joint Undertaking - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"890,10/05/11,""ECA special report in the context of the 2009 Commission discharge  - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"891,10/05/11,""2009 discharge: EU general budget, Section III - Commission - Proposal for a European Parliament Decision : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"892,10/05/11,""2009 discharge: European Foundation for the Improvement of Living and Working Conditions - Proposal for a European Parliament Decision : single vote"",""+"",""EP"",""Budgetary control""";;;;
"893,10/05/11,""2009 discharge: EU general budget – Council  - Proposal for a European Parliament Decision : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"894,10/05/11,""2009 discharge: EU general budget - Court of Auditors - Proposal for a European Parliament Decision : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"895,10/05/11,""2009 discharge: EU general budget, Economic and Social Committee - Proposal for a European Parliament Decision : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"896,10/05/11,""2009 discharge: EU general budget - Committee of the Regions - Proposal for a European Parliament Decision : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"897,10/05/11,""2009 discharge: Eighth, Ninth and Tenth European Development Funds (EDF - Proposal for a European Parliament Decision : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"898,10/05/11,""2009 discharge: European Medicines Agency - Proposal for a European Parliament Decision : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"899,10/05/11,""2009 discharge: European Union Agency for Fundamental Rights - Proposal for a European Parliament Decision : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"900,10/05/11,""2009 discharge: European Joint Undertaking for ITER and the Development of Fusion Energy - Proposal for a European Parliament Decision : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"901,10/05/11,""Emergency autonomous trade preferences for Pakistan - Draft legislative resolution : Proposal to reject the Commission proposal - ordinary legislative procedure, first reading"",""-"",""EP"",""International trade""";;;;
"902,10/05/11,""Transitional arrangements for bilateral investment agreements between Member States and third countries - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"903,10/05/11,""Further macro-financial assistance for Georgia - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"904,07/04/11,""Vaccination against bluetongue - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"905,07/04/11,""Lessons to be drawn for nuclear safety in Europe following the nuclear accident in Japan - Joint motion for a resolution : vote: resolution (text as a whole)"",""-"",""EP"",""Industry, research & energy""";;;;
"906,07/04/11,""Fourth United Nations Conference on the Least Developed Countries  - Joint motion for a resolution : After paragraph 4,amendment 8"",""-"",""EP"",""Development""";;;;
"907,07/04/11,""2010 progress report on Iceland - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"908,07/04/11,""2010 progress report on the former Yugoslav Republic of Macedonia - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"909,07/04/11,""Review of the European Neighbourhood Policy - Eastern Dimension - Motion for a resolution : Paragraph 10,amendment 1"",""-"",""EP"",""Foreign & security policy""";;;;
"910,07/04/11,""Zimbabwe - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"911,07/04/11,""The case of Ai WeiWei in China - Joint motion for a resolution : After paragraph 6 ,amendment 2"",""+"",""EP"",""Foreign & security policy""";;;;
"912,06/04/11,""European statistics on tourism - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Transport & tourism""";;;;
"913,06/04/11,""Estimates of revenue and expenditure for 2012 - Section I - Parliament - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Budget""";;;;
"914,06/04/11,""Community financial measures for the implementation of the common fisheries policy and in the area of the Law of the Sea - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Fisheries""";;;;
"915,06/04/11,""Draft amending budget No 1/2011 - Section III - Commission - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"916,06/04/11,""Protection of Communities' financial interests – fight against fraud - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"917,06/04/11,""Fisheries - transitional technical measures - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Fisheries""";;;;
"918,06/04/11,""Authorisation and refusal of authorisation of certain health claims made on foods and referring to children's development and health - Motion for a resolution : vote: resolution (text as a whole)"",""-"",""EP"",""Environment & public health""";;;;
"919,06/04/11,""Granting and withdrawing international protection - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"920,06/04/11,""Mobilisation of the EU Solidarity Fund - Floods in 2010 in Poland, Slovakia, Hungary, the Czech Republic, Croatia and Romania - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"921,06/04/11,""Imports from Greenland of fishery products - Draft legislative resolution : single vote - consultation"",""+"",""EP"",""Fisheries""";;;;
"922,06/04/11,""Political parties at European level and rules regarding their funding - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Constitutional and inter-institutional affairs""";;;;
"923,06/04/11,""Governance and partnership in the single market - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Internal market & consumer protection""";;;;
"924,06/04/11,""Single market for Europeans - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Internal market & consumer protection""";;;;
"925,06/04/11,""Single market for enterprises and growth - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Internal market & consumer protection""";;;;
"926,05/04/11,""Mobilisation of the European Globalisation Adjustment Fund: Czech Republic - UNILEVER - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Budget""";;;;
"927,05/04/11,""EU policy framework to fight violence against women - Motion for a resolution : Paragraph 2, indent 1"",""+"",""EP"",""Gender equality""";;;;
"928,05/04/11,""Mobilisation of the European Globalisation Adjustment Fund: Poland - Podkarpackie - Manufacture of machinery - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"929,24/03/11,""European Network and Information Security Agency - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Industry, research & energy""";;;;
"930,24/03/11,""Single application procedure for residence and work - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"931,24/03/11,""Preparation of 2012 budget - Motion for a resolution : Paragraph 8,amendment 2"",""-"",""EP"",""Budget""";;;;
"932,24/03/11,""Amendment of Council Regulation (EC) No 55/2008 introducing autonomous trade preferences for the Republic of Moldova - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"933,24/03/11,""Generalised tariff preferences - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"934,23/03/11,""Amendment of the Treaty on the Functioning of the European Union with regard to a stability mechanism for Member States whose currency is the euro - Draft legislative resolution : vote: resolution (text as a whole)   - consultation"",""+"",""EP"",""Constitutional and inter-institutional affairs""";;;;
"935,10/03/11,""Southern Neighbourhood, and Libya in particular, including humanitarian aspects - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"936,10/03/11,""16th session of the Human Rights Council (Geneva, 28 February - 25 March 2011) - Joint motion for a resolution : Paragraph 8"",""+"",""EP"",""Foreign & security policy""";;;;
"937,10/03/11,""Situation and cultural heritage in Kashgar (Xinjiang Uyghur Autonomous Region, China) - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"938,09/03/11,""2010 progress report on Turkey - Motion for a resolution : After paragraph 42,amendment 32"",""-"",""EP"",""Foreign & security policy""";;;;
"939,09/03/11,""Motions for resolutions - EU strategy for the Atlantic region - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Regional development""";;;;
"940,09/03/11,""Guidelines for the 2012 budget - other sections - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Budget""";;;;
"941,09/03/11,""EU strategy on Roma inclusion - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"942,08/03/11,""General Fisheries Commission for the Mediterranean Agreement Area - Draft legislative resolution-Ordinary legislative procedure: first reading : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Fisheries""";;;;
"943,08/03/11,""Innovative financing at a global and European level - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Economic & monetary affairs""";;;;
"944,08/03/11,""General product safety and market surveillance - Motion for a resolution : single vote"",""+"",""EP"",""Internal market & consumer protection""";;;;
"945,08/03/11,""EU protein deficit - Motion for a resolution : Paragraph 2"",""+"",""EP"",""Agriculture""";;;;
"946,08/03/11,""Agriculture and international trade - Motion for a resolution : Paragraph 43"",""-"",""EP"",""Agriculture""";;;;
"947,08/03/11,""Reducing health inequalities - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Environment & public health""";;;;
"948,17/02/11,""EU guarantee to the EIB against losses under loans and guarantees for projects outside the EU - Draft legislative resolution-Ordinary legislative procedure: first reading : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Budget""";;;;
"949,17/02/11,""Rising food prices  - Joint motion for a resolution : Paragraph  1,amendment 5"",""-"",""EP"",""Economic & monetary affairs""";;;;
"950,17/02/11,""Guidelines for the employment policies of the Member State - Draft legislative resolution-Consultation : vote: legislative resolution   - consultation"",""+"",""EP"",""Employment & social affairs""";;;;
"951,17/02/11,""Implementation of the guidelines for the employment policies of the Member States - Motion for a resolution : Paragraph  4"",""+"",""EP"",""Employment & social affairs""";;;;
"952,17/02/11,""Free trade agreement between the EU and the Republic on Korea - Draft legislative resolution-Recommendation : vote: legislative resolution   - consent"",""+"",""EP"",""International trade""";;;;
"953,17/02/11,""Situation in Egypt - Joint motion for a resolution : Paragraph  10/2"",""+"",""EP"",""Foreign & security policy""";;;;
"954,17/02/11,""Europe 2020 - Joint motion for a resolution : Paragraph  3/2"",""+"",""EP"",""Regional development""";;;;
"955,17/02/11,""Motions for resolutions - Implementation of the EU strategy for the Danube region - Joint motion for a resolution : vote: legislative resolution"",""+"",""EP"",""Regional development""";;;;
"956,17/02/11,""Bilateral safeguard clause in the EU-Korea free trade agreement - Draft legislative resolution-Ordinary legislative procedure: first reading : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"957,17/02/11,""Uganda: murder of David Kato - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"958,16/02/11,""2010 progress report on Croatia  - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"959,16/02/11,""Adequate, sustainable and safe European pension systems - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Employment & social affairs""";;;;
"960,16/02/11,""Falsified medicinal products - Draft legislative resolution-Ordinary legislative procedure: first reading : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"961,15/02/11,""Agreement between the EC and South Africa on trade, development and cooperation - Draft legislative resolution-Recommendation : single vote"",""+"",""EP"",""Development""";;;;
"962,15/02/11,""Rights of passengers in bus and coach transport - Draft legislative resolution-Ordinary legislative procedure: third readingn : single vote - ordinary legislative procedure, conciliation"",""+"",""EP"",""Transport & tourism""";;;;
"963,15/02/11,""Emission performance standards for new light commercial vehicles - Draft legislative resolution-Ordinary legislative procedure: first reading : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"964,15/02/11,""Enhanced cooperation in the area of the creation of unitary patent protection - Draft legislative resolution-Recommendation : vote: legislative resolution   - consent"",""+"",""EP"",""Legal affairs""";;;;
"965,15/02/11,""Radioactive contamination of foodstuffs - Draft legislative resolution-Consultation : vote: legislative resolution   - consultation"",""+"",""EP"",""Industry, research & energy""";;;;
"966,03/02/11,""Motions for resolutions - Waste crisis in Campania - Joint motion for a resolution : Paragraph 3,amendment 12"",""-"",""EP"",""Environment & public health""";;;;
"967,03/02/11,""Repeal of Council Regulation (EC) No 1964/2005 on the tariff rates for bananas - Draft legislative resolution : vote: amended proposal   - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"968,03/02/11,""Motions for resolutions - Agreements on trade in bananas - Motion for a resolution : Paragraph 1,amendment 3"",""-"",""EP"",""International trade""";;;;
"969,03/02/11,""Waste electrical and electronic equipment - Draft legislative resolution : vote: legislative resolution   - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"970,03/02/11,""Motions for resolutions - Tuberculosis Vaccine Initiative - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Environment & public health""";;;;
"971,03/02/11,""Agreements on trade in bananas - Draft legislative resolution : vote: legislative resolution  - consent"",""+"",""EP"",""International trade""";;;;
"972,03/02/11,""Financing instrument for the promotion of democracy and human rights worldwide (amendment of Regulation (EC) No 1889/2006) - Draft legislative resolution-Recommendation for second reading : Amendment  by the committee responsible   ,amendment 1 - ordinary legislative procedure, second reading"",""+"",""EP"",""Foreign & security policy""";;;;
"973,03/02/11,""A financing instrument for development cooperation (amendment of Regulation (EC) No 1905/2006) - Draft legislative resolution-Recommendation for second reading : Amendment  by the committee responsible   ,amendment 1 - ordinary legislative procedure, second reading"",""+"",""EP"",""Development""";;;;
"974,03/02/11,""Establishment of a financing instrument for cooperation with industrialised countries (amendment of Regulation (EC) No 1934/2006) - Draft legislative resolution-Recommendation for second reading : Amendment  by the committee responsible   ,amendment 1 - ordinary legislative procedure, second reading"",""+"",""EP"",""International trade""";;;;
"975,03/02/11,""Financing instrument for development cooperation - Draft legislative resolution-Recommendation for second reading : Amendment  by the committee responsible   ,amendment 1 - ordinary legislative procedure, second reading"",""+"",""EP"",""Development""";;;;
"976,20/01/11,""Brazil: extradition of Cesare Battisti - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"977,20/01/11,""An EU Strategy for the Black Sea - Motion for a resolution : Paragraph 25/1"",""+"",""EP"",""Foreign & security policy""";;;;
"978,20/01/11,""Iran, in particular the case of Nasrin Sotoudeh - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"979,19/01/11,""European initiative on Alzheimer’s disease and other dementias - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Environment & public health""";;;;
"980,19/01/11,""Stabilisation and Association Agreement between the EC and Serbia - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"981,19/01/11,""Motions for resolutions - Interim Partnership Agreement between the EC and the Pacific States - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""International trade""";;;;
"982,19/01/11,""EU-Cameroon forest law agreement - Draft legislative resolution : single vote - consent"",""+"",""EP"",""International trade""";;;;
"983,18/01/11,""Mergers of public limited liability companies (codified version) - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"984,18/01/11,""European Consensus on humanitarian aid - Motion for a resolution : Paragraph 9"",""+"",""EP"",""Development""";;;;
"985,18/01/11,""Agriculture as a strategic sector in the context of food security - Motion for a resolution : Paragraph 14/1"",""+"",""EP"",""Agriculture""";;;;
"986,16/12/10,""A new strategy for Afghanistan - Motion for a resolution : Paragraph 2/1"",""+"",""EP"",""Foreign & security policy""";;;;
"987,16/12/10,""Human rights in the world 2009 and EU policy on the matter - Motion for a resolution : After paragraph 1,amendment 10"",""-"",""EP"",""Foreign & security policy""";;;;
"988,16/12/10,""Control by Member States of the Commission’s exercise of implementing powers - Draft legislative resolution : vote: legislative resolution  - ordinary legislative procedure, first reading"",""+"",""EP"",""Constitutional and inter-institutional affairs""";;;;
"989,16/12/10,""European Heritage Label - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Culture & education""";;;;
"990,16/12/10,""Motions for resolutions - Establishing a permanent crisis mechanism to safeguard the financial stability of the euro area - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Economic & monetary affairs""";;;;
"991,16/12/10,""Motions for resolutions - Welfare of laying hens - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Agriculture""";;;;
"992,16/12/10,""Uganda: the Bahati Bill and discrimination against the LGBT population - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"993,16/12/10,""Eritrean refugees held hostage in Sinai- PPE - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"994,15/12/10,""Future of the Africa/EU strategic partnership on the eve of 3rd Africa/EU summit - Joint motion for a resolution : Paragraph 34"",""+"",""EP"",""Foreign & security policy""";;;;
"995,15/12/10,""Presentation of the Commission work programme for 2011 - Joint motion for a resolution : Paragraph 11"",""+"",""EP"",""Constitutional and inter-institutional affairs""";;;;
"996,15/12/10,""Citizens’ initiative - Draft legislative resolution : vote: legislative resolution  - ordinary legislative procedure, first reading"",""+"",""EP"",""Constitutional and inter-institutional affairs""";;;;
"997,15/12/10,""Repeal of directives regarding metrology - Draft legislative resolution : vote: legislative resolution  - ordinary legislative procedure, first reading"",""+"",""EP"",""Internal market & consumer protection""";;;;
"998,15/12/10,""Credit rating agencies - Draft legislative resolution : vote: legislative resolution  - ordinary legislative procedure, first reading"",""+"",""EP"",""Economic & monetary affairs""";;;;
"999,15/12/10,""Law applicable to divorce and legal separation - Draft legislative resolution : single vote - consultation"",""+"",""EP"",""Legal affairs""";;;;
"1000,15/12/10,""Mobilisation of the European Globalisation Adjustment Fund: Noord Holland ICT/Netherlands - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"1001,15/12/10,""Parliament's position on the new 2011 Draft Budget as modified by the Council - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Budget""";;;;
"1002,15/12/10,""Draft general budget of the European Union for the financial year 2011 as modified by the Council - Motion for a resolution : 08 20 02,amendment 1"",""-"",""EP"",""Budget""";;;;
"1003,15/12/10,""Mobilisation of the Flexibility Instrument for the Lifelong Learning Programme, for the Competitiveness and Innovation Programme and for Palestine - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"1004,15/12/10,""Fundamental rights in the European Union (2009) - Effective implementation after the entry into force of the Treaty of Lisbon - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"1005,15/12/10,""Energy Efficiency Action Plan - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Industry, research & energy""";;;;
